"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE","1217-8837","2064-2474","HUNGARIAN NATURAL HISTORY MUSEUM","BAROSS U 13, BUDAPEST, HUNGARY, H-1088","English","Zoology"
"ACTA ZOOLOGICA BULGARICA","0324-0770","","INST ZOOLOGY, BAS","1000 SOFIA, 1, TSAR OSVOBODITEL BLVD, SOFIA, BULGARIA, 00000","English","Zoology"
"ACTA ZOOLOGICA CRACOVIENSIA","0065-1710","1734-915X","POLISH ACAD SCIENCES, INST SYSTEMATICS EVOLUTION ANIMALS","EDITORIAL OFFICE, SLAWKOWSKA 17, KRAKOW, POLAND, 31-016","","Zoology"
"ACTA ZOOLOGICA FENNICA","0001-7299","","FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD","P O BOX 26, UNIV HELSINKI, FINLAND, FI-00014","","Zoology"
"ACTA ZOOLOGICA LILLOANA","0065-1729","1852-6098","FUNDACION MIGUEL LILLO","MIGUEL LILLO 251, SAN MIGUEL DE TUCUMAN, ARGENTINA, T4000JFE","Spanish","Zoology"
"ACTA ZOOLOGICA MEXICANA-NUEVA SERIE","0065-1737","2448-8445","INST ECOLOGIA A C","KM 2 5 CARR ANT A COATEPEC NO 351, CONGREGACION EL HAYA, XALAPA, MEXICO, VER, 00000","","Zoology"
"ACTUALIDADES BIOLOGICAS","0304-3584","2145-7166","UNIV ANTIOQUIA, FAC CIENCIAS EXACTAS NATURALES, DEPT","APARTADO AEREO 1226, MEDELLIN, COLOMBIA, 00000","English, Spanish","Biology"
"ADAPTIVE BEHAVIOR","1059-7123","1741-2633","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","English","Computer Science, Artificial Intelligence | Psychology, Experimental | Social Sciences, Interdisciplinary"
"ADVANCED STUDIES IN BIOLOGY","1313-9495","1314-7668","HIKARI LTD","PO BOX 15, RUSE, BULGARIA, 7005","","Biology"
"ADVANCES IN ANATOMY EMBRYOLOGY AND CELL BIOLOGY","0301-5556","2192-7065","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330","English","Anatomy & Morphology | Cell Biology"
"ADVANCES IN BIORESEARCH","0976-4585","2277-1573","SOC EDUC","27, B N PURAM NEAR BANSHI VIHAR COLONY, PASCHIM PURI RD, AGRA, INDIA, SIKANDRA-BODLA, 282007 UP","","Biotechnology & Applied Microbiology"
